text,intent
report inappropriate behavior,REPORT_ISSUES_HELP
how to file report,REPORT_ISSUES_HELP
report boarding problem,REPORT_ISSUES_HELP
complaint about living conditions,REPORT_ISSUES_HELP
report issue formally,REPORT_ISSUES_HELP
how to raise safety complaint,REPORT_ISSUES_HELP
complaint process explanation,REPORT_ISSUES_HELP
report violation details,REPORT_ISSUES_HELP
report issue with boarding,REPORT_ISSUES_HELP
how to send complaint,REPORT_ISSUES_HELP
report serious safety issue,REPORT_ISSUES_HELP
complaint about owner conduct,REPORT_ISSUES_HELP
report unfair treatment,REPORT_ISSUES_HELP
how to escalate complaint,REPORT_ISSUES_HELP
issue reporting help,REPORT_ISSUES_HELP
report owner behavior,REPORT_ISSUES_HELP
how to submit issue complaint,REPORT_ISSUES_HELP
complaint submission help,REPORT_ISSUES_HELP
report problem to authorities,REPORT_ISSUES_HELP
complaint against boarding management,REPORT_ISSUES_HELP
report issue not resolved,REPORT_ISSUES_HELP
how to report ongoing issue,REPORT_ISSUES_HELP
issue escalation to admin,REPORT_ISSUES_HELP
report violation complaint,REPORT_ISSUES_HELP
complaint about safety,REPORT_ISSUES_HELP
report issue with evidence,REPORT_ISSUES_HELP
complaint about unfair rules,REPORT_ISSUES_HELP
